Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
Z304481,407-5164807-9289106-1-R1,GBEAUB00TQ4DGZM,GM-France,407-5164807-9289106,2024-08-03 15:40:12,Delivered,2024-08-14 12:32:00,2024-08-14 12:32:00
N1600075,405-6514150-7149113-1,GTOYSB08LKCR45V,GM-France,405-6514150-7149113,2024-08-10 08:02:32,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600159,407-2102823-8849961-1,OFFACB006M1JDJ0,GM-France,407-2102823-8849961,2024-08-10 14:19:46,Delivered,2024-08-14 12:32:00,2024-08-14 12:32:00
N1600191,403-5319160-5387519-1,HARDWB006K3R5Z4,GM-France,403-5319160-5387519,2024-08-10 16:03:10,Delivered,2024-08-13 12:10:00,2024-08-13 12:10:00
Z304458,404-0885268-1826720-1-R1,GSPODB081JD739K,GM-France,404-0885268-1826720,2024-08-02 19:33:00,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600433,408-5188524-4741951-1,GSPODB081JD739K,GM-France,408-5188524-4741951,2024-08-11 15:30:02,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600307,408-7600740-6607542-1,GSPODB081JD739K,GM-France,408-7600740-6607542,2024-08-11 08:14:58,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600462,404-7466643-3047565-1,GSPODB081JD739K,GM-France,404-7466643-3047565,2024-08-11 16:51:36,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
Z304459,408-4897221-4233912-1-R1,GSPODB081JD739K,GM-France,408-4897221-4233912,2024-08-02 17:06:53,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600312,404-7147963-1130716-1,GSPODB000FYXZNK,GM-France,404-7147963-1130716,2024-08-11 08:47:47,Delivered,2024-08-16 13:24:00,2024-08-16 13:24:00
N1600430,402-7344123-4032327-1,GTOYSB077SSX5FN,GM-France,402-7344123-4032327,2024-08-11 14:52:22,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1600413,171-6286889-6841965-1,GSPODB081JD739K,GM-France,171-6286889-6841965,2024-08-11 14:20:22,Delivered,2024-08-14 10:24:00,2024-08-14 10:24:00
N1600766,171-6584296-5937926-1,GTOYSB01BKUFLRU,GM-France,171-6584296-5937926,2024-08-12 15:36:34,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1601007,408-0859342-8986744-1,GSPODB081JD739K,GM-France,408-0859342-8986744,2024-08-13 11:08:41,Delivered,2024-08-15 09:34:00,2024-08-15 09:34:00
N1601105,404-5726736-2149935-1,GBEAUB084ZHY9RR,GM-France,404-5726736-2149935,2024-08-13 16:36:16,Delivered,2024-08-15 13:06:00,2024-08-15 13:06:00
N1600998,408-2104668-6089112-1,GBEAUB07CWH4Q3V,GM-France,408-2104668-6089112,2024-08-13 09:39:04,Delivered,2024-08-15 09:34:00,2024-08-15 09:34:00
N1601084,407-4965772-5450714-1,GBEAUB09HRNTPXJ,GM-France,407-4965772-5450714,2024-08-13 15:43:49,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1601008,405-6363724-0477919-1,GMUINB00INCGKSI,GM-France,405-6363724-0477919,2024-08-13 11:11:09,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1601061,402-3522277-7185953-1,GSPODB081JD739K,GM-France,402-3522277-7185953,2024-08-13 14:39:58,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1601174,408-1322276-3336317-1,GSPODB081JD739K,GM-France,408-1322276-3336317,2024-08-13 20:05:54,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1600960,402-4927476-9976332-1,ELELAB08KHCTZJG,GM-France,402-4927476-9976332,2024-08-13 07:03:54,Delivered,2024-08-19 13:01:00,2024-08-19 13:01:00
N1601009,406-4571673-6574734-1,GSPODB0C48JFNCX,GM-France,406-4571673-6574734,2024-08-13 11:12:28,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
N1601329,406-1631474-8546734-1,CAMERB0085F7XD4,GM-France,406-1631474-8546734,2024-08-14 13:54:57,Delivered,2024-08-19 13:10:00,2024-08-19 13:10:00
