shipment_no,log,current_status
C1770074,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770071,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770073,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770083,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770070,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770081,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770082,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770064,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770069,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770072,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770063,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770068,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770062,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636349,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770067,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636310,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770045,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636348,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770044,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636309,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636308,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636287,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636296,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636305,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770027,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636307,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636306,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636304,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1636277,"[['PA - In Transit', '2024-10-14 10:31:25', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769989,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769983,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769981,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769949,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769935,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769934,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769943,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1770021,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769921,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
